JE Code,Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %
I-1284,Bangalore,India,APAC,02-03-15,Microwave,Colin Lima,80,49,38.75%
I-1285,Cairo,Egypt,EMEA,11/18/2015,Oven,Marek Kwiatkowski,500,490,2.00%
I-1286,Buenos Aires,Argentina,LATAM,05-03-18,Vacuum Cleaner,Stuart Brown,250,248,0.80%
I-1287,Amsterdam,Netherlands,EMEA,12/27/2015,Refrigerator,Christopher Hurren,1000,900,10.00%
I-1288,Riyadh,Saudi Arabia,EMEA,10-01-18,Blender,Danny Brooks,50,45,10.00%
I-1289,Jerusalem,Israel,EMEA,06-02-17,Ceiling fan,Neil Tubbs,150,144,4.00%
I-1290,Tokyo,Japan,APAC,11-01-18,Oven,David Gow,500,495,1.00%
I-1291,Prague,Czech Republic,EMEA,9/20/2014,Dishwasher,David Stewart,500,425,15.00%
I-1292,Riyadh,Saudi Arabia,EMEA,6/28/2018,Coffee grinder,John Craig,70,60,14.29%
I-1293,Toronto,Canada,NA,11/27/2014,Washing Machine,Richard Oliver,800,624,22.00%
I-1294,Dubai,UAE,EMEA,01-08-18,Toaster,Nicholas Timbrell,50,47,6.00%
I-1295,Bangalore,India,APAC,06-11-17,Iron,Francis Walsh,30,29,3.33%
I-1296,Buenos Aires,Argentina,LATAM,11-12-16,Blender,Nicola Nathan,50,50,0.00%
I-1297,Dublin,Ireland,EMEA,9/16/2017,Microwave,Alison Younger,80,72,10.00%
I-1298,Sao Paolo,Brazil,LATAM,01-02-15,Refrigerator,Zoe Munday,1000,580,42.00%
I-1299,Madria,Spain,EMEA,12-05-16,Washing Machine,Paul Long,800,552,31.00%
I-1300,Athens,Greece,EMEA,12-05-15,Coffee grinder,Olivia Reynolds,70,67,4.29%
I-1301,Tijuana,Mexico,LATAM,6/24/2018,Washing Machine,Gillian Allnutt,800,704,12.00%
I-1302,Mexico City,Mexico,LATAM,5/20/2015,Refrigerator,Eric Walker,1000,590,41.00%
I-1303,New York,USA,NA,5/16/2014,Iron,Andrew Jones,30,28,6.67%
I-1304,Bogota,Colombia,LATAM,12/30/2017,Washing Machine,Basil Nolan,800,488,39.00%
I-1305,Toronto,Canada,NA,4/15/2015,Ceiling fan,Richard Oliver,150,134,10.67%
I-1306,Ho Chi Minh City,Vietnam,APAC,5/28/2017,Blender,Rosemary Aziz,50,50,0.00%
I-1307,New York,USA,NA,3/31/2017,Refrigerator,Andrew Jones,1000,670,33.00%
I-1308,Bangalore,India,APAC,3/16/2014,Ceiling fan,Stuart Sykes,150,149,0.67%
I-1309,Tel Aviv,Israel,EMEA,9/17/2018,Oven,Thomas Gordon,500,500,0.00%
I-1310,Tel Aviv,Israel,EMEA,7/22/2017,Ceiling fan,Thomas Gordon,150,146,2.67%
I-1311,London,UK,EMEA,06-12-18,Refrigerator,Damilola Raymond,1000,810,19.00%
I-1312,Prague,Czech Republic,EMEA,6/24/2015,Ceiling fan,Christopher Lloyd,150,147,2.00%
I-1313,London,UK,EMEA,12/13/2018,Refrigerator,James Neville,1000,730,27.00%
I-1314,Bangkok,Thailand,APAC,05-07-16,Vacuum Cleaner,Mary Mitchell,250,248,0.80%
I-1315,Dublin,Ireland,EMEA,11-12-18,Air conditioner,Alison Younger,700,609,13.00%
I-1316,Istanbul,Turkey,EMEA,11/25/2016,Ceiling fan,Chloe Lyons,150,140,6.67%
I-1317,Bangalore,India,APAC,2/20/2014,Oven,Francis Walsh,500,500,0.00%
I-1318,Cairo,Egypt,EMEA,03-09-18,Refrigerator,John Barnett,1000,960,4.00%
I-1319,Mexico City,Mexico,LATAM,10-07-14,Microwave,Denise Rodgers,80,73,8.75%
I-1320,Bangkok,Thailand,APAC,10-09-16,Air conditioner,Nicole Marshall,700,700,0.00%
I-1321,Berlin,Germany,EMEA,2/27/2017,Air conditioner,Jacqueline Clamp,700,672,4.00%
I-1322,Kuala Lumpur,Malaysia,APAC,5/22/2017,Air conditioner,Trudi Griffin,700,651,7.00%
I-1323,Tijuana,Mexico,LATAM,9/14/2014,Ceiling fan,Timothy Younger,150,137,8.67%
I-1324,Bogota,Colombia,LATAM,6/13/2018,Air conditioner,Philip Mishra,700,651,7.00%
I-1325,Shenzhen,China,APAC,04-04-18,Vacuum Cleaner,Gary Shaw,250,238,4.80%
I-1326,Sao Paolo,Brazil,LATAM,9/15/2014,Washing Machine,Gary Reynolds,800,696,13.00%
I-1327,Tijuana,Mexico,LATAM,12-06-14,Iron,Kevin McLauchlin,30,21,30.00%
I-1328,Berlin,Germany,EMEA,11/26/2017,Microwave,Jacqueline Clamp,80,74,7.50%
I-1329,Sao Paolo,Brazil,LATAM,05-04-17,Vacuum Cleaner,Stephen Smith,250,228,8.80%
I-1330,Amsterdam,Netherlands,EMEA,7/16/2016,Air conditioner,Christopher Hurren,700,644,8.00%
I-1331,Ho Chi Minh City,Vietnam,APAC,1/27/2014,Iron,Irene Skiba,30,29,3.33%
I-1332,Delhi,India,APAC,06-07-14,Washing Machine,Francis Hughes,800,656,18.00%
I-1333,Rome,Italy,EMEA,07-10-17,Ceiling fan,Elaine Whitfield,150,149,0.67%
I-1334,San Fransisco,USA,NA,10-07-18,Ceiling fan,Patricia Sewell,150,147,2.00%
I-1335,Jerusalem,Israel,EMEA,10-12-15,Microwave,Susan Carley,80,78,2.50%
I-1336,Bucharest,Romania,EMEA,8/29/2015,Ceiling fan,Jacqueline Todd,150,147,2.00%
I-1337,Ho Chi Minh City,Vietnam,APAC,04-07-15,Dishwasher,Susan Passey,500,360,28.00%
I-1338,Tokyo,Japan,APAC,8/26/2018,Blender,Michelle Hunter,50,45,10.00%
I-1339,Delhi,India,APAC,3/21/2018,Blender,Roy Johnson,50,43,14.00%
I-1340,Bogota,Colombia,LATAM,11/21/2014,Microwave,Margaret Buck,80,75,6.25%
I-1341,Dublin,Ireland,EMEA,03-08-15,Blender,Gwyn Taylor,50,36,28.00%
I-1342,Buenos Aires,Argentina,LATAM,4/27/2016,Washing Machine,Ronald Rowlands,800,448,44.00%
I-1343,Madria,Spain,EMEA,04-01-17,Ceiling fan,Roy Lloyd,150,138,8.00%
I-1344,Kansas City,USA,NA,5/20/2017,Oven,Kirsty Amos,500,500,0.00%
I-1345,Istanbul,Turkey,EMEA,1/22/2015,Oven,Cordia Alston,500,495,1.00%
I-1346,Amsterdam,Netherlands,EMEA,03-02-14,Ceiling fan,Christopher Hurren,150,128,14.67%
I-1347,Delhi,India,APAC,6/27/2014,Blender,Steven Batty,50,42,16.00%
I-1348,Dubai,UAE,EMEA,01-03-14,Microwave,Rachel Clayton,80,80,0.00%
I-1349,Seoul,South Korea,APAC,4/21/2018,Ceiling fan,Rosalind Chandler,150,147,2.00%
I-1350,Riyadh,Saudi Arabia,EMEA,2/22/2014,Toaster,Kelly Owen,50,44,12.00%
I-1351,Tijuana,Mexico,LATAM,5/13/2018,Coffee grinder,Emily Brierley,70,67,4.29%
I-1352,Seattle,USA,NA,4/23/2018,Coffee grinder,Alan Davie,70,67,4.29%
I-1353,Tokyo,Japan,APAC,10/28/2016,Dishwasher,Kenneth Bullion,500,460,8.00%
I-1354,Moscow,Russia,EMEA,9/19/2015,Oven,May Wilmot,500,495,1.00%
I-1355,Prague,Czech Republic,EMEA,06-08-16,Washing Machine,Edward Khan,800,704,12.00%
I-1356,Athens,Greece,EMEA,09-04-14,Microwave,Mark Lawton,80,60,25.00%
I-1357,Kuala Lumpur,Malaysia,APAC,07-08-18,Oven,Trudi Griffin,500,500,0.00%
I-1358,Los Angeles,USA,NA,1/22/2016,Ceiling fan,Chandrakant Atkins,150,150,0.00%
I-1359,Seoul,South Korea,APAC,10-12-15,Coffee grinder,Mark Towey,70,68,2.86%
I-1360,Dubai,UAE,EMEA,10/23/2015,Coffee grinder,Ernie Dyer,70,70,0.00%
I-1361,Kuala Lumpur,Malaysia,APAC,06-11-18,Iron,Stephen MacGregor,30,28,6.67%
I-1362,Kuala Lumpur,Malaysia,APAC,03-06-17,Coffee grinder,Harold Lunn,70,64,8.57%
I-1363,Sao Paolo,Brazil,LATAM,8/24/2015,Blender,Gary Reynolds,50,38,24.00%
I-1364,Toronto,Canada,NA,12/20/2017,Blender,Alison Storey,50,50,0.00%
I-1365,Bangalore,India,APAC,2/21/2015,Dishwasher,Paul Rule,500,465,7.00%
I-1366,New York,USA,NA,11/14/2014,Toaster,Richard Nash,50,44,12.00%
I-1367,Bogota,Colombia,LATAM,2/28/2014,Toaster,Paul Puri,50,47,6.00%
I-1368,Warsaw,Poland,EMEA,1/28/2015,Ceiling fan,Alexandra Wright,150,101,32.67%
I-1369,Paris,France,EMEA,07-11-14,Microwave,Ryan Goad,80,78,2.50%
I-1370,Bangalore,India,APAC,2/21/2015,Oven,Stuart Hunter,500,500,0.00%
I-1371,Tijuana,Mexico,LATAM,2/28/2015,Microwave,Paul Salmon,80,74,7.50%
I-1372,Prague,Czech Republic,EMEA,11/27/2017,Coffee grinder,Terence Mirza,70,68,2.86%
I-1373,Cairo,Egypt,EMEA,11-02-14,Dishwasher,Marek Kwiatkowski,500,500,0.00%
I-1374,Mexico City,Mexico,LATAM,04-04-18,Refrigerator,Catherine Rahman,1000,720,28.00%
I-1375,Toronto,Canada,NA,2/24/2017,Dishwasher,Richard Oliver,500,480,4.00%
I-1376,Los Angeles,USA,NA,2/16/2014,Toaster,Ellen Lillie,50,43,14.00%
I-1377,London,UK,EMEA,6/26/2018,Ceiling fan,Damilola Raymond,150,150,0.00%
I-1378,Moscow,Russia,EMEA,1/17/2014,Washing Machine,Zulfiqar Mirza,800,528,34.00%
I-1379,Dublin,Ireland,EMEA,06-03-15,Toaster,Emma Gibbons,50,39,22.00%
I-1380,Athens,Greece,EMEA,10/22/2017,Blender,David Walker,50,50,0.00%
I-1381,Bangalore,India,APAC,4/23/2016,Oven,Colin Lima,500,500,0.00%
I-1382,Prague,Czech Republic,EMEA,01-11-18,Toaster,Christopher Martin,50,44,12.00%
I-1383,Mexico City,Mexico,LATAM,10/29/2017,Blender,Brendon Dyer,50,48,4.00%
I-1384,Tokyo,Japan,APAC,2/28/2017,Microwave,Steven Douglas,80,72,10.00%
I-1385,Bogota,Colombia,LATAM,02-09-15,Blender,Ronald Curtis,50,32,36.00%
I-1386,Shanghai,China,APAC,7/18/2017,Air conditioner,Alen Dinan,700,651,7.00%
I-1387,Berlin,Germany,EMEA,03-05-17,Blender,James Whitehead,50,49,2.00%
I-1388,Capetown,South Africa,EMEA,07-12-18,Dishwasher,Marcus Jacob,500,440,12.00%
I-1389,Dublin,Ireland,EMEA,6/26/2018,Refrigerator,Andrew Phillips,1000,680,32.00%
I-1390,Sydney,Australia,APAC,06-10-15,Air conditioner,James White,700,637,9.00%
I-1391,Birmingham,UK,EMEA,5/25/2014,Toaster,Gustavo Taiwo,50,43,14.00%
I-1392,Delhi,India,APAC,6/25/2016,Iron,Tessa Morrow,30,29,3.33%
I-1393,Riyadh,Saudi Arabia,EMEA,04-09-17,Toaster,Victoria Sherwin,50,47,6.00%
I-1394,Bogota,Colombia,LATAM,04-08-15,Ceiling fan,David Finnie,150,144,4.00%
I-1395,Amsterdam,Netherlands,EMEA,8/23/2015,Vacuum Cleaner,Danny Grant,250,193,22.80%
I-1396,Ho Chi Minh City,Vietnam,APAC,10-01-16,Washing Machine,Michael Rodgers,800,800,0.00%
I-1397,Santiago,Chile,LATAM,11/28/2015,Air conditioner,Karen Hopewell,700,441,37.00%
I-1398,Rome,Italy,EMEA,7/19/2016,Coffee grinder,Steven Bell,70,60,14.29%
I-1399,Shenzhen,China,APAC,12-08-17,Dishwasher,Roger Rust,500,495,1.00%
I-1400,Dublin,Ireland,EMEA,02-08-17,Iron,Alison Younger,30,29,3.33%
I-1401,Prague,Czech Republic,EMEA,9/28/2018,Iron,Rachel Blane,30,29,3.33%
I-1402,Rome,Italy,EMEA,4/20/2017,Oven,Golam Reid,500,500,0.00%
I-1403,Amsterdam,Netherlands,EMEA,1/14/2014,Refrigerator,Christopher Hurren,1000,510,49.00%
I-1404,Mexico City,Mexico,LATAM,11-05-15,Washing Machine,James Anthony,800,488,39.00%
I-1405,Toronto,Canada,NA,12/15/2016,Toaster,Nick Blacklock,50,49,2.00%
I-1406,Vienna,Austria,EMEA,07-06-17,Microwave,Daniel Henderson,80,78,2.50%
I-1407,Madria,Spain,EMEA,8/13/2018,Blender,Martin Mishra,50,48,4.00%
I-1408,Riyadh,Saudi Arabia,EMEA,3/31/2018,Blender,Heather Murray,50,50,0.00%
I-1409,Bangkok,Thailand,APAC,10/24/2018,Vacuum Cleaner,Alan Procter,250,250,0.00%
I-1410,Athens,Greece,EMEA,07-07-16,Coffee grinder,Gary Roberts,70,67,4.29%
I-1411,Sydney,Australia,APAC,08-06-18,Air conditioner,Christine Davies,700,693,1.00%
I-1412,Shenzhen,China,APAC,7/28/2017,Iron,Ronald Butler,30,27,10.00%
I-1413,Amsterdam,Netherlands,EMEA,3/19/2016,Toaster,Julia Ferguson,50,49,2.00%
I-1414,Istanbul,Turkey,EMEA,03-06-15,Washing Machine,Chloe Lyons,800,664,17.00%
I-1415,Dublin,Ireland,EMEA,4/26/2016,Washing Machine,Robert Harris,800,648,19.00%
I-1416,Kansas City,USA,NA,10/25/2018,Iron,David Rodrigues,30,29,3.33%
I-1417,London,UK,EMEA,11/26/2017,Dishwasher,Claire Brooks,500,475,5.00%
I-1418,Dublin,Ireland,EMEA,2/24/2015,Oven,Penelope Norton,500,495,1.00%
I-1419,Moscow,Russia,EMEA,12/25/2014,Refrigerator,Dermot Bailey,1000,580,42.00%
I-1420,Vienna,Austria,EMEA,11/14/2017,Blender,Raymond Denning,50,47,6.00%
I-1421,Cairo,Egypt,EMEA,05-05-15,Coffee grinder,Valerie Pereira,70,48,31.43%
I-1422,Dublin,Ireland,EMEA,10-04-15,Refrigerator,Emma Gibbons,1000,750,25.00%
I-1423,Vienna,Austria,EMEA,5/31/2014,Iron,Paul Drage,30,25,16.67%
I-1424,Tokyo,Japan,APAC,9/29/2018,Iron,Pauline Taylor,30,27,10.00%
I-1425,Kuala Lumpur,Malaysia,APAC,12/16/2018,Oven,Valerie Hook,500,490,2.00%
I-1426,Seattle,USA,NA,1/15/2015,Oven,Lesleyann Pope,500,500,0.00%
I-1427,Berlin,Germany,EMEA,04-07-14,Oven,James Whitehead,500,495,1.00%
I-1428,Santiago,Chile,LATAM,5/21/2014,Ceiling fan,Bruce McPhee,150,119,20.67%
I-1429,London,UK,EMEA,2/14/2014,Microwave,Ian Borowski,80,79,1.25%
I-1430,Dubai,UAE,EMEA,05-11-17,Ceiling fan,Marie Whitfield,150,99,34.00%
I-1431,Seattle,USA,NA,2/14/2016,Dishwasher,Harold Green,500,425,15.00%
I-1432,Madria,Spain,EMEA,3/18/2014,Refrigerator,Martin Mishra,1000,810,19.00%
I-1433,Jerusalem,Israel,EMEA,03-06-18,Vacuum Cleaner,David Hubble,250,245,2.00%
I-1434,London,UK,EMEA,3/27/2017,Blender,William Cruse,50,50,0.00%
I-1435,Rome,Italy,EMEA,6/24/2018,Vacuum Cleaner,Michael Toy,250,235,6.00%
I-1436,Jerusalem,Israel,EMEA,11/23/2016,Vacuum Cleaner,Harold Charters,250,240,4.00%
I-1437,Santiago,Chile,LATAM,7/22/2017,Coffee grinder,Jason Edmund,70,69,1.43%
I-1438,Paris,France,EMEA,8/24/2017,Coffee grinder,Melanie Fletcher,70,67,4.29%
I-1439,Cairo,Egypt,EMEA,2/24/2017,Toaster,Marek Kwiatkowski,50,49,2.00%
I-1440,Athens,Greece,EMEA,01-09-15,Ceiling fan,David Walker,150,98,34.67%
I-1441,Bangalore,India,APAC,9/22/2018,Toaster,Delia Muhammad,50,50,0.00%
I-1442,Mexico City,Mexico,LATAM,3/14/2015,Oven,Catherine Rahman,500,495,1.00%
I-1443,Buenos Aires,Argentina,LATAM,12/20/2014,Coffee grinder,Ian Grant,70,54,22.86%
I-1444,Los Angeles,USA,NA,9/30/2018,Dishwasher,Christopher Kitching,500,485,3.00%
I-1445,Chicago,USA,NA,9/18/2014,Microwave,Barry Baldwin,80,78,2.50%
I-1446,Tijuana,Mexico,LATAM,05-08-18,Washing Machine,Paul Salmon,800,712,11.00%
I-1447,Riyadh,Saudi Arabia,EMEA,08-11-15,Ceiling fan,Jodie Fairhurst,150,93,38.00%
I-1448,Shanghai,China,APAC,10/18/2018,Refrigerator,Michelle Murray,1000,710,29.00%
I-1449,Shenzhen,China,APAC,09-08-18,Oven,Joanne Ripley,500,495,1.00%
I-1450,Tijuana,Mexico,LATAM,5/28/2017,Oven,Paul Salmon,500,490,2.00%
I-1451,Seoul,South Korea,APAC,3/23/2014,Coffee grinder,Martin Birch,70,67,4.29%
I-1452,Tokyo,Japan,APAC,01-10-15,Vacuum Cleaner,Basil Bell,250,235,6.00%
I-1453,Tijuana,Mexico,LATAM,09-10-17,Washing Machine,Timothy Younger,800,584,27.00%
I-1454,New York,USA,NA,05-06-17,Microwave,Richard Nash,80,72,10.00%
I-1455,Toronto,Canada,NA,02-02-14,Refrigerator,Kyle Anderson,1000,750,25.00%
I-1456,Chicago,USA,NA,04-10-16,Washing Machine,Paul Collier,800,696,13.00%
I-1457,Dubai,UAE,EMEA,4/21/2014,Ceiling fan,Roy Connelly,150,146,2.67%
I-1458,Santiago,Chile,LATAM,11-10-15,Blender,Julia Hammond,50,41,18.00%
I-1459,Prague,Czech Republic,EMEA,6/22/2017,Oven,Christopher Lloyd,500,495,1.00%
I-1460,Tel Aviv,Israel,EMEA,7/23/2017,Toaster,Maureen Reynolds,50,46,8.00%
I-1461,Guangzhou,China,APAC,11/24/2015,Microwave,Donald Higgs,80,74,7.50%
I-1462,Cairo,Egypt,EMEA,06-06-14,Coffee grinder,Marek Kwiatkowski,70,59,15.71%
I-1463,Riyadh,Saudi Arabia,EMEA,7/30/2017,Coffee grinder,Victoria Sherwin,70,68,2.86%
I-1464,Berlin,Germany,EMEA,08-11-17,Ceiling fan,David Power,150,146,2.67%
I-1465,Moscow,Russia,EMEA,9/17/2014,Refrigerator,Rita Hill,1000,630,37.00%
I-1466,Buenos Aires,Argentina,LATAM,10/18/2018,Toaster,Simon Snape,50,44,12.00%
I-1467,Bangkok,Thailand,APAC,12/31/2014,Air conditioner,Martin Gee,700,693,1.00%
I-1468,Dublin,Ireland,EMEA,7/21/2017,Air conditioner,Robert Harris,700,637,9.00%
I-1469,Lima,Peru,LATAM,07-05-16,Microwave,Claire Storey,80,68,15.00%
I-1470,Ho Chi Minh City,Vietnam,APAC,3/16/2014,Iron,Michael Bell,30,26,13.33%
I-1471,Chicago,USA,NA,9/27/2017,Vacuum Cleaner,Robert Polhill,250,240,4.00%
I-1472,Bangalore,India,APAC,08-08-18,Ceiling fan,Delia Muhammad,150,131,12.67%
I-1473,Paris,France,EMEA,02-04-17,Refrigerator,Ryan Goad,1000,820,18.00%
I-1474,Santiago,Chile,LATAM,8/19/2018,Washing Machine,Karen Hopewell,800,528,34.00%
I-1475,Bucharest,Romania,EMEA,7/13/2014,Coffee grinder,Geoffrey Shiner,70,69,1.43%
I-1476,Bucharest,Romania,EMEA,08-06-18,Dishwasher,Thomas Taylor,500,485,3.00%
I-1477,Birmingham,UK,EMEA,4/19/2015,Blender,Stephen Muhammad,50,39,22.00%
I-1478,Birmingham,UK,EMEA,4/26/2017,Refrigerator,Robert James,1000,830,17.00%
I-1479,New York,USA,NA,9/14/2016,Toaster,Simon Hirst,50,44,12.00%
I-1480,London,UK,EMEA,10/28/2014,Oven,Philip Dewar,500,500,0.00%
I-1481,Toronto,Canada,NA,6/29/2015,Toaster,Michael Patel,50,37,26.00%
I-1482,San Fransisco,USA,NA,3/18/2017,Microwave,John Osborne,80,78,2.50%
I-1483,Kuala Lumpur,Malaysia,APAC,8/30/2018,Coffee grinder,Ian Baker,70,65,7.14%
I-1484,Seattle,USA,NA,7/25/2014,Vacuum Cleaner,Richard Anderson,250,228,8.80%
I-1485,Seoul,South Korea,APAC,09-12-17,Vacuum Cleaner,James Gahagan,250,250,0.00%
I-1486,Bucharest,Romania,EMEA,7/15/2017,Iron,Jacqueline Todd,30,29,3.33%
I-1487,Bogota,Colombia,LATAM,03-02-15,Blender,Lisa Manning,50,32,36.00%
I-1488,Osaka,Japan,APAC,8/19/2018,Air conditioner,Alice Canning,700,686,2.00%
I-1489,Santiago,Chile,LATAM,12/24/2016,Ceiling fan,Bruce McPhee,150,131,12.67%
I-1490,Chicago,USA,NA,05-06-16,Refrigerator,Ronald Bettley,1000,940,6.00%
I-1491,Capetown,South Africa,EMEA,08-06-16,Ceiling fan,Marcus Jacob,150,138,8.00%
I-1492,Mexico City,Mexico,LATAM,5/19/2014,Blender,Jeremy Morrow,50,44,12.00%
I-1493,Cairo,Egypt,EMEA,08-02-16,Vacuum Cleaner,Valerie Pereira,250,218,12.80%
I-1494,Seoul,South Korea,APAC,08-10-16,Ceiling fan,Mark Brook,150,144,4.00%
I-1495,Capetown,South Africa,EMEA,04-05-18,Refrigerator,Stuart Anderson,1000,890,11.00%
I-1496,Toronto,Canada,NA,7/15/2017,Ceiling fan,Jordan Andrews,150,150,0.00%
I-1497,Chicago,USA,NA,11-05-14,Vacuum Cleaner,Marie Foster,250,238,4.80%
I-1498,Guangzhou,China,APAC,06-06-16,Blender,Helen Watt,50,49,2.00%
I-1499,Tijuana,Mexico,LATAM,7/26/2018,Air conditioner,Paul Skiba,700,630,10.00%
I-1500,Berlin,Germany,EMEA,5/26/2018,Toaster,John Gunter,50,48,4.00%
I-1501,Bucharest,Romania,EMEA,11/25/2015,Dishwasher,Kevin Ross,500,500,0.00%
I-1502,Madria,Spain,EMEA,01-11-17,Iron,Howard Jones,30,29,3.33%
I-1503,New York,USA,NA,10/15/2018,Oven,Ian Coates,500,495,1.00%
I-1504,Chicago,USA,NA,7/21/2016,Ceiling fan,Paul Collier,150,149,0.67%
I-1505,Seattle,USA,NA,05-11-15,Coffee grinder,Lesleyann Pope,70,54,22.86%
I-1506,Bangkok,Thailand,APAC,02-01-18,Oven,John Jenkins,500,490,2.00%
I-1507,Santiago,Chile,LATAM,02-04-15,Blender,Karen Hopewell,50,46,8.00%
I-1508,Lima,Peru,LATAM,03-02-17,Washing Machine,Janet Ford,800,600,25.00%
I-1509,London,UK,EMEA,11/16/2017,Air conditioner,Francis Godden,700,665,5.00%
I-1510,Madria,Spain,EMEA,1/19/2017,Dishwasher,Roy Nunes,500,480,4.00%
I-1511,Ho Chi Minh City,Vietnam,APAC,4/29/2016,Washing Machine,Ken Rogerson,800,528,34.00%
I-1512,Guangzhou,China,APAC,08-04-18,Vacuum Cleaner,Wolfgang Carvalho,250,225,10.00%
I-1513,San Fransisco,USA,NA,7/22/2015,Ceiling fan,Gary Acheampong,150,113,24.67%
I-1514,Buenos Aires,Argentina,LATAM,06-02-16,Dishwasher,Lisa Wood,500,440,12.00%
I-1515,Osaka,Japan,APAC,04-02-15,Coffee grinder,Peter Walker,70,44,37.14%
I-1516,Warsaw,Poland,EMEA,10/16/2014,Vacuum Cleaner,Barbara McDevitt,250,73,70.80%
I-1517,Guangzhou,China,APAC,7/17/2015,Toaster,Helen Watt,50,34,32.00%
I-1518,Dubai,UAE,EMEA,11/27/2017,Microwave,Nicholas Timbrell,80,78,2.50%
I-1519,Bangkok,Thailand,APAC,6/19/2017,Ceiling fan,Stephen Burch,150,149,0.67%
I-1520,Seattle,USA,NA,9/21/2017,Vacuum Cleaner,Kevin Styles,250,250,0.00%
I-1521,Capetown,South Africa,EMEA,06-04-17,Air conditioner,Margaret Philp,700,665,5.00%
I-1522,Bogota,Colombia,LATAM,1/29/2015,Ceiling fan,David Finnie,150,140,6.67%
I-1523,Madria,Spain,EMEA,10-01-17,Washing Machine,Martin Mishra,800,792,1.00%
I-1524,Osaka,Japan,APAC,12/17/2017,Ceiling fan,Alice Canning,150,138,8.00%
I-1525,Tel Aviv,Israel,EMEA,03-11-15,Iron,Steven Green,30,23,23.33%
I-1526,Tijuana,Mexico,LATAM,12/27/2016,Microwave,Paul Salmon,80,78,2.50%
I-1527,Toronto,Canada,NA,4/21/2016,Toaster,Kyle Anderson,50,49,2.00%
I-1528,Dublin,Ireland,EMEA,10/18/2017,Vacuum Cleaner,Robert Harris,250,235,6.00%
I-1529,San Fransisco,USA,NA,01-07-15,Oven,Shelley Lock,500,490,2.00%
I-1530,Dubai,UAE,EMEA,02-08-14,Air conditioner,Ernie Dyer,700,525,25.00%
I-1531,Madria,Spain,EMEA,10/13/2015,Microwave,Howard Jones,80,74,7.50%
I-1532,Delhi,India,APAC,09-08-14,Washing Machine,David Johnson,800,696,13.00%
I-1533,Bucharest,Romania,EMEA,2/15/2017,Blender,Constance Tidey,50,50,0.00%
I-1534,Cairo,Egypt,EMEA,4/20/2017,Toaster,David Amos,50,50,0.00%
I-1535,Berlin,Germany,EMEA,6/27/2016,Vacuum Cleaner,Jacqueline Clamp,250,225,10.00%
I-1536,Prague,Czech Republic,EMEA,11/25/2014,Washing Machine,David Stewart,800,760,5.00%
I-1537,Osaka,Japan,APAC,6/30/2016,Blender,Tracy Stanley,50,49,2.00%
I-1538,Paris,France,EMEA,1/22/2017,Oven,Ryan Goad,500,495,1.00%
I-1539,Guangzhou,China,APAC,9/24/2016,Vacuum Cleaner,Mark Searle,250,213,14.80%
I-1540,Chicago,USA,NA,10/19/2016,Air conditioner,Richard Hughes,700,693,1.00%
I-1541,Tel Aviv,Israel,EMEA,10-11-16,Iron,Thomas Gordon,30,28,6.67%
I-1542,Vienna,Austria,EMEA,10-05-15,Air conditioner,Janet Ward,700,518,26.00%
I-1543,Lima,Peru,LATAM,01-06-18,Oven,William Lant,500,495,1.00%
I-1544,Mexico City,Mexico,LATAM,5/14/2015,Iron,Brendon Dyer,30,21,30.00%
I-1545,Kansas City,USA,NA,9/15/2017,Refrigerator,Robert Arnold,1000,700,30.00%
I-1546,Kuala Lumpur,Malaysia,APAC,4/21/2015,Toaster,Rachel Oliver,50,32,36.00%
I-1547,Athens,Greece,EMEA,07-10-15,Washing Machine,Aidan Perrott,800,632,21.00%
I-1548,New York,USA,NA,12/19/2018,Dishwasher,Matthew Crowe,500,450,10.00%
I-1549,Sao Paolo,Brazil,LATAM,8/17/2016,Toaster,Elizabeth Holloway,50,49,2.00%
I-1550,Buenos Aires,Argentina,LATAM,6/24/2015,Washing Machine,Roy Cooper,800,456,43.00%
I-1551,Cairo,Egypt,EMEA,01-01-15,Blender,Marek Kwiatkowski,50,31,38.00%
I-1552,Seattle,USA,NA,12/29/2014,Microwave,Lesleyann Pope,80,69,13.75%
I-1553,Amsterdam,Netherlands,EMEA,11/17/2016,Microwave,Donald Barratt,80,70,12.50%
I-1554,Istanbul,Turkey,EMEA,1/17/2017,Vacuum Cleaner,Chloe Lyons,250,240,4.00%
I-1555,Seattle,USA,NA,6/23/2016,Ceiling fan,Kevin Styles,150,132,12.00%
I-1556,Capetown,South Africa,EMEA,05-10-16,Iron,Nicholas Holloway,30,27,10.00%
I-1557,Dublin,Ireland,EMEA,10-07-15,Washing Machine,Emma Gibbons,800,624,22.00%
I-1558,Los Angeles,USA,NA,7/19/2014,Coffee grinder,Anthony Procter,70,52,25.71%
I-1559,Seoul,South Korea,APAC,11/22/2017,Microwave,Steven Wood,80,77,3.75%
I-1560,Lima,Peru,LATAM,9/25/2017,Iron,Janet Ford,30,27,10.00%
I-1561,Rome,Italy,EMEA,01-11-17,Toaster,Golam Reid,50,47,6.00%
I-1562,Dubai,UAE,EMEA,07-06-17,Dishwasher,Marie Whitfield,500,265,47.00%
I-1563,Kuala Lumpur,Malaysia,APAC,10/16/2016,Iron,Stephen MacGregor,30,28,6.67%
